optimizer,hidden_neurons_1,hidden_neurons_2,learning_rate,test_loss,test_accuracy
Adam,128,64,0.001,1.0992563962936401,0.31591448187828064
RProp,128,64,0.001,686.0660400390625,0.3396674692630768
Adam,128,64,0.01,1.0995194911956787,0.31591448187828064
RProp,128,64,0.01,317.20245361328125,0.36342042684555054
Adam,128,64,0.1,1.097946286201477,0.3444180488586426
RProp,128,64,0.1,25.703157424926758,0.41092637181282043
Adam,128,128,0.0001,1.120058298110962,0.3396674692630768
RProp,128,128,0.0001,190.82093811035156,0.49881234765052795
Adam,128,128,0.001,1.0993751287460327,0.31591448187828064
RProp,128,128,0.001,214.28216552734375,0.5985748171806335
Adam,128,128,0.01,1.0546890497207642,0.5059382319450378
RProp,128,128,0.01,421.1382141113281,0.4180522561073303
Adam,128,128,0.1,1.1007380485534668,0.31591448187828064
RProp,128,128,0.1,96.06302642822266,0.46080759167671204
